"date","BAYER","SIEMENS","SAP","DAIMLER","ALLIANZ","BASF","DEUTSCHE_TELEKOM","MUENCHENER_RUECK","BMW","FRESENIUS","DEUTSCHE_BANK","DEUTSCHE_POST","LINDE","VOLKSWAGEN","CONTINENTAL","VDAX","DAX"
"2010-03-23",50.15,56.4199967714253,31.9578584125467,28.2611532205135,67.4047316372687,36.3988373259913,6.82540352254844,87.5786151988604,29.2867782892405,15.0170160491098,41.6423355160594,10.2605458478611,79.0152709754804,59.9915574280777,34.1853141815879,17.09,6017.27
"2010-03-24",50,56.490747777548,31.9307256616658,28.154769843688,67.4047316372687,36.1275667919711,6.77224724953982,87.3177427280553,29.3659436307642,15.2254129164028,42.0162443869659,10.2920078512275,78.0431869420349,60.2795177414352,34.0227481494744,17.07,6039
"2010-03-25",50.5,57.7485434419521,32.2427522967961,28.4698283058249,68.6644913143444,36.6822543018333,6.84887512361718,88.4730350987636,29.8805183506682,15.4991282047876,43.4431887124338,10.2959406016483,78.6585428898123,58.5079509893795,35.4672634633974,16.389999,6132.95
"2010-03-26",49.985,57.4419557487536,31.7498406557932,28.5516616726137,70.0304957834626,36.6012780230213,6.8191904516773,89.1065825278618,30.0388490337156,15.2658481294596,44.1382669094832,10.225151094074,78.159123569877,60.4717530657766,36.1128828480769,16.700001,6120.05
"2010-03-29",50.4,58.2988290451288,32.2382301716493,28.6457700444208,70.3719969007422,36.9008902546257,6.87579843072544,89.8146649486185,29.9684798412501,15.7292978791111,43.9550904877287,10.2920078512275,78.4801788469782,60.4278609331648,36.3822779870079,16.799999,6156.85
"2010-03-30",50.36,57.5520128693889,32.1975310453279,28.293886567229,70.766620414043,37.0871356958933,6.90341207904161,89.3674549986669,29.7001972949754,16.0030131674959,44.2679405513836,10.2290838444948,78.4445060384114,59.2761069404358,35.2071578120158,17.01,6142.45
"2010-03-31",50.15,58.3695800512516,32.4191151775219,28.5843950193292,70.531364088806,37.2288441838142,6.9517359635949,89.7401299569599,30.104820151652,17.1072055240481,43.5803420582225,10.087504829346,78.5961154748204,59.6351380973448,35.1607103742691,16.879999,6153.55
"2010-04-01",50.45,59.2814819079445,32.5366904313391,28.8339867880351,71.1840106684958,37.9940700185876,6.93447743339729,90.5600148652046,30.9008716414182,17.2036279551836,44.0772081022317,10.1976218411284,78.6407064855289,60.8378488171058,35.4393950007494,16.23,6235.56
"2010-04-02",50.45,59.2814819079445,32.5366904313391,28.8339867880351,71.1840106684958,37.9940700185876,6.93447743339729,90.5600148652046,30.9008716414182,17.2036279551836,44.0772081022317,10.1976218411284,78.6407064855289,60.8378488171058,35.4393950007494,16.282,6235.56
"2010-04-05",50.45,59.2814819079445,32.5366904313391,28.8339867880351,71.1840106684958,37.9940700185876,6.93447743339729,90.5600148652046,30.9008716414182,17.2036279551836,44.0772081022317,10.1976218411284,78.6407064855289,60.8378488171058,35.4393950007494,16.438,6235.56
"2010-04-06",49.74,59.7924613966087,32.6633099354499,29.0385702050071,72.4361814318542,38.1479249483304,6.95863937567394,91.4171672692785,31.1427657405184,17.0854327170175,44.3515911173182,10.3156043537523,78.8101523262212,62.2424744752207,34.9934995983809,16.49,6252.21
"2010-04-07",49.59,59.0377839979662,32.6271329342754,28.9690118432366,72.4817149141582,37.7997269494388,6.95518766963442,90.6345498568632,30.707356362138,17.2533943712536,43.8245772872285,10.2330165949156,78.2572237934357,62.0230017161403,34.4639988080682,16.82,6222.41
"2010-04-08",49.75,58.6211391841324,32.7175754372117,28.9280951598422,71.5255117857754,37.767336437914,6.9027217378337,90.4854798735459,30.3906949960432,17.0761015140043,43.4130409263533,10.1582943369204,77.9450867184761,60.6183760580253,33.8834058362342,17.629999,6171.83
"2010-04-09",49.965,58.7783636421829,32.6678320605968,29.046753541686,71.1840106684958,37.8564103446072,6.94138084547634,90.7836198401804,30.6369871696725,17.3187127923454,44.1608586681663,10.1504288360788,78.7388067090876,60.4427978507609,34.3711039325748,16.32,6249.7
"2010-04-12",49.97,58.8648370941107,32.56382318222,28.9321868281817,71.798712679599,38.0183629022312,6.9689944937925,91.2680972859613,30.9536485357673,17.2720567772798,44.3975378697749,10.0757065780837,78.4890970491199,59.8721686771517,34.4825777831669,16.530001,6250.69
"2010-04-13",50.61,58.0708535809556,32.4598143038432,29.2963453103918,70.9563432569761,37.7835316936764,6.99660814210867,90.9326898234976,31.0592023244656,17.2627255742667,44.2294735028151,9.96952231672212,78.2393873891523,59.3015395035425,34.6033411213084,16.690001,6230.83
"2010-04-14",50.65,57.8192944480748,32.7492303132394,30.0492122848488,71.6393454915353,37.7997269494388,6.99315643606915,91.603504748425,31.1999407093966,17.3560376043979,45.412182599277,10.1307650839748,78.7298885069459,61.1451106798184,35.5322898762428,16.360001,6278.4
"2010-04-15",49.5,57.434094525851,33.0431684477825,30.2374290284631,71.1840106684958,37.7349459263892,6.99660814210867,92.0134472025473,31.0943869206983,17.2782775792886,46.0537580164722,10.4650488697426,78.4801788469782,61.891318060692,36.3915674745572,16.51,6291.45
"2010-04-16",49.38,56.0112131804939,32.5864338079541,29.8487205362163,69.6889946661831,37.3098204626262,6.92067060923921,90.2618748985701,31.0723965480529,17.0449975039606,42.3441301819065,10.2920078512275,77.9094139099093,62.1107908197725,36.4147911934306,17.92,6180.9
"2010-04-19",49.685,56.5457763378657,32.2834514231174,29.6727787976203,69.9014842502681,36.8725485570415,6.88960525488352,89.9637349319357,30.9316581631218,17.181855148153,40.9706886362928,10.3038061024899,77.3921581856906,61.4523725425311,36.1128828480769,18.559999,6162.44
"2010-04-20",50.25,57.9529352374177,32.7266196875054,31.8822797009181,70.3871747281768,37.40294318326,6.94138084547634,90.8208873360097,32.2818670435538,17.2502839702492,42.6117204046863,10.5122418747922,77.7310498670753,63.7085525058783,38.3191361410462,17.040001,6264.23
"2010-04-21",50.24,57.5755965380965,32.8170621904417,31.6858796206249,69.3550824626208,37.5527492990622,6.87925013676496,90.0382699235943,32.2246920746756,16.9516854738295,42.2905510785433,10.5397711277378,78.159123569877,65.8857222759565,37.9847145892698,17.58,6230.38
"2010-04-22",49.675,56.4121355485227,33.079345448957,31.3544544851303,67.9587223386333,37.6337255778742,6.86199160656736,89.0320475362032,32.1191382859773,16.6624181804228,41.268426645153,10.4060576134307,77.7042952606502,66.9304126091796,38.5281496109065,19.01,6168.72
"2010-04-23",51.64,57.5048455319738,33.6491332174558,31.8086296708081,67.8980110288947,38.6459290630241,6.86406263019107,88.6221050820808,32.6776937511723,16.7961654236108,41.1078419820815,10.5083091243714,78.7477249112293,66.2303928235003,38.6071102550759,17.709999,6259.53
"2010-04-26",52.25,59.6116532698506,33.8571509742093,32.4551132684397,67.7841773231348,39.3706667583915,6.86544331260688,89.1438500236911,33.2230549927801,16.7712822155759,42.3591659131922,10.6341571378369,80.3975923074442,65.9880865082923,39.9122832557588,17.370001,6332.1
"2010-04-27",50.5,57.4969843090712,33.4682482115831,31.2603461133231,65.9856047721291,38.2208035992612,6.7363495067288,85.566170424078,32.3786246831939,16.5504437442654,40.3525445363803,10.4729143705842,79.1847168161727,63.2239996533278,38.9229528317536,20.459999,6159.51
"2010-04-28",50.05,56.7816130249414,32.2156195459152,30.8061709276453,64.2401546171447,37.5487004851216,6.68043186888856,83.8145981201008,32.149924807681,16.5659957492873,39.9401686169054,10.2644785982819,77.9361685163344,61.9675965374349,40.4789419962688,20.459999,6084.34
"2010-04-29",49.325,57.4498169716561,32.514079805605,31.8495463542025,66.053904995585,37.3179180905074,6.79295748577694,85.1499905760427,32.4621880992467,16.6437557743966,41.2224035691872,10.3675354874109,79.505772093274,64.8393750880473,40.4324945585221,20.799999,6144.91
"2010-04-30",48.245,57.8664617854899,32.4100709272283,31.5549462337628,65.5302699490897,37.0993020809546,6.82126147530101,83.5789575395844,32.6293149313523,16.5877685563179,39.4817696214646,10.1037095346497,80.254901073177,64.3906596895141,39.3549140027981,20.75,6135.7
"2010-05-03",47.49,57.7013761045369,32.685920561184,31.9150130476336,66.1980943562142,37.7509045537646,6.84473307636975,84.7572323169281,32.8580148068652,16.6717493834359,40.3215571917001,10.2521116330778,82.0474597036591,65.6919343452604,39.768296198744,20.66,6166.92
"2010-05-04",45.705,55.8461274995409,32.220141671062,30.8511792793791,64.0883763427982,36.2795441312905,6.72260166793056,83.1861992804698,31.5693789698405,15.9967923654871,38.8410337628691,9.90171778956694,78.1947963784438,62.9098988743546,38.2262412655528,23.43,6006.86
"2010-05-05",46.305,55.7517928247106,32.2337080465024,30.4788374604901,64.1263209113848,35.9264176298967,6.65291799036507,81.9293728513031,31.6221558641897,15.8474931172773,38.2078539316709,9.69972604448419,77.111271225054,61.8778534577282,38.0868989523126,23.860001,5958.45
"2010-05-06",46.335,55.6574581498803,32.1523097938598,29.9755622547389,62.9698330685913,35.7330388315143,6.60196648418816,81.8508211994802,32.0003902736918,15.695083468063,36.0515621535837,9.55132394605604,76.9746944074397,62.0214423852589,37.2043976351249,25.120001,5908.26
"2010-05-07",45.175,53.8886829968121,31.2704953902307,29.3290786571074,61.4145300352316,34.9006692210861,6.43112908112439,79.8084782520843,31.4286405849095,15.4338097836957,35.5287461164926,9.19268554152135,75.3175623537191,60.8458080411019,36.6470283821642,33.349998,5715.09
"2010-05-10",46.58,57.3869271884359,32.0618672909235,30.9002792994524,65.7215230506894,36.4897384773582,6.57199500996644,82.8327168472667,33.0735204587909,15.4742449967526,38.810122741698,9.77804937421016,76.6560151663396,63.3586142728878,38.5235048671318,25.450001,6017.91
"2010-05-11",47.8,59.1714247873092,32.5276461810455,31.7758963240926,66.000680005395,36.8302533179879,6.64617440866519,84.2073707541677,33.636473998515,15.6826418640455,39.1464041226357,10.0212639244118,77.1476917097512,63.5381004323011,39.5964406790811,24.16,6037.71
